 จำนวนรถที่จดทะเบียนสะสม  ณ  วันที่ 31 มกราคม 2561 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Number of Vehicle Registered in Thailand as of 31 January 2018 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 (คัน : Unit) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ประเภทรถ , ทั่วประเทศ , กรุงเทพฯ , ส่วนภูมิภาค ,รวมภาคกลาง,ชัยนาท,สิงห์บุรี,ลพบุรี,อ่างทอง,สระบุรี, พระนครศรีอยุธยา,ปทุมธานี,นนทบุรี,สมุทรปราการ,รวมภาคตะวันออก,นครนายก,ปราจีนบุรี,ฉะเชิงเทรา,ชลบุรี,ระยอง,จันทบุรี,ตราด,สระแก้ว,รวมภาคตะวันออกเฉียงเหนือ,,ชัยภูมิ,ยโสธร,อุบลราชธานี,ศรีสะเกษ,บุรีรัมย์,นครราชสีมา,สุรินทร์,อำนาจเจริญ,หนองบัวลำภู,บึงกาฬ,หนองคาย,เลย,อุดรธานี,นครพนม,สกลนคร,ขอนแก่น,กาฬสินธุ์,มหาสารคาม,ร้อยเอ็ด,มุกดาหาร,รวมภาคเหนือ,เชียงราย,แม่ฮองสอน,เชียงใหม่,พะเยา,น่าน,ลำพูน,ลำปาง,แพร่,อุตรดิตถ์,สุโขทัย,ตาก,พิษณุโลก,กำแพงเพชร,พิจิตร,เพชรบูรณ์,นครสวรรค์,อุทัยธานี,รวมภาคตะวันตก,สุพรรณบุรี,กาญจนบุรี,นครปฐม,ราชบุรี,สมุทรสาคร,สมุทรสงคราม,เพชรบุรี,ประจวบคีรีขันธ์,รวมภาคใต้,ชุมพร,ระนอง,สุราษฎร์ธานี,พังงา,นครศรีธรรมราช,กระบี่,ภูเก็ต,พัทลุง,ตรัง,สงขลา,สตูล,ปัตตานี,ยะลา,นราธิวาส
     รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน Urban Taxi ," 81,970 "," 77,867 "," 4,103 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 694 , -   , -   , -   , 667 , 22 , 5 , -   , -   ," 1,363 ",, -   , -   , 505 , 64 , 25 , 144 , 10 , -   , -   , -   , 12 , 24 , 63 , 11 , 17 , 408 , 6 , 46 , 13 , 15 , 916 , 255 , -   , 384 , -   , 10 , -   , 11 , -   , 8 , 1 , 50 , 194 , -   , -   , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,130 ", -   , -   , 574 , -   , 62 , 24 , 363 , -   , -   , 104 , -   , -   , 3 , -   
                 - บุคคลธรรมดา," 18,758 "," 18,016 ", 742 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20 , -   , -   , -   , 16 , -   , 4 , -   , -   , 110 ,, -   , -   , 46 , 1 , 4 , 7 , -   , -   , -   , -   , 8 , -   , 16 , -   , -   , 27 , -   , -   , 1 , -   , 185 , 35 , -   , 138 , -   , -   , -   , 5 , -   , 5 , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 427 , -   , -   , 210 , -   , 2 , -   , 211 , -   , -   , 2 , -   , -   , 2 , -   
                 - นิติบุคคล," 62,623 "," 59,271 "," 3,352 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 673 , -   , -   , -   , 651 , 22 , -   , -   , -   ," 1,253 ",, -   , -   , 459 , 63 , 21 , 137 , 10 , -   , -   , -   , 4 , 24 , 47 , 11 , 17 , 381 , 6 , 46 , 12 , 15 , 726 , 219 , -   , 246 , -   , 10 , -   , 6 , -   , -   , -   , 50 , 192 , -   , -   , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 700 , -   , -   , 364 , -   , 59 , 23 , 152 , -   , -   , 102 , -   , -   , -   , -   
                 - ไม่ระบุ, 589 , 580 , 9 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 1 , -   , -   , -   , -   , -   , -   , -   , 3 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , 1 , -   
     รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง Fixed Route Taxi ," 2,684 "," 2,168 ", 516 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 516 , -   , -   , -   , -   , -   , -   , 516 , -   , -   , -   , -   , -   , -   , -   
     รย. 8 รถยนต์รับจ้างสามล้อ Motortricycle Taxi (Tuk Tuk) ," 20,199 "," 9,332 "," 10,867 "," 3,810 ", 14 , 1 , -   , 37 , 12 ," 1,300 ", -   ," 1,682 ", 764 ," 2,642 ", 1 , 498 , 984 , 866 , 1 , 53 , 25 , 214 ," 1,767 ",, 55 , -   , 348 , -   , 43 , 765 , 14 , 1 , -   , -   , 3 , 1 , 1 , 28 , -   , 502 , 1 , -   , 5 , -   ," 1,658 ", 192 , 14 ," 1,149 ", 4 , -   , 1 , -   , -   , 4 , 4 , 51 , 120 , -   , 23 , 55 , 41 , -   , 786 , 100 , 13 , 87 , 99 , 226 , 170 , 14 , 77 , 204 , -   , -   , -   , -   , -   , -   , -   , -   , 201 , -   , -   , -   , 3 , -   
     รย. 9 รถยนต์บริการธุรกิจ Hotel Taxi ," 4,393 ", 664 ," 3,729 ", 41 , -   , -   , -   , -   , -   , -   , -   , 39 , 2 , 12 , -   , -   , -   , 7 , 4 , -   , 1 , -   , 71 ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 1 , 50 , 2 , -   , 8 , -   , -   , -   , -   , 269 , 60 , -   , 209 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 189 , -   , -   , -   , -   , -   , -   , -   , 189 ," 3,147 ", -   , -   , 202 , 318 , 27 , 113 ," 2,458 ", -   , 2 , 26 , -   , 1 , -   , -   
     รย.10 รถยนต์บริการทัศนาจร Tour Taxi ," 4,948 "," 1,628 "," 3,320 ", 9 , -   , -   , -   , -   , -   , -   , -   , 1 , 8 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6 , -   , -   , 6 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,305 ", -   , -   , 21 , 54 , -   , 592 ," 2,631 ", -   , 7 , -   , -   , -   , -   , -   
     รย.11 รถยนต์บริการให้เช่า Car For Hire , 74 , 56 , 18 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , 5 , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 13 , -   , -   , 3 , 1 , -   , -   , -   , -   , 9 , -   , -   , -   , -   , -   
     รย.12 รถจักรยานยนต์ส่วนบุคคล Motorcycle ," 20,548,178 "," 3,539,708 "," 17,008,470 "," 1,152,905 "," 101,834 "," 85,197 "," 231,896 "," 87,167 "," 240,129 "," 247,639 "," 59,691 "," 46,785 "," 52,567 "," 2,253,700 "," 73,232 "," 150,526 "," 231,500 "," 954,972 "," 409,974 "," 210,532 "," 88,558 "," 134,406 "," 4,847,019 ",," 210,119 "," 124,062 "," 427,868 "," 245,367 "," 329,117 "," 713,615 "," 297,283 "," 76,865 "," 87,102 "," 75,642 "," 135,335 "," 146,578 "," 397,932 "," 150,497 "," 307,532 "," 433,511 "," 156,068 "," 200,891 "," 235,571 "," 96,064 "," 4,085,903 "," 441,518 "," 50,552 "," 807,489 "," 169,191 "," 142,525 "," 176,062 "," 273,329 "," 157,411 "," 154,384 "," 195,520 "," 145,855 "," 271,911 "," 210,614 "," 191,261 "," 269,211 "," 324,412 "," 104,658 "," 1,766,167 "," 295,819 "," 236,618 "," 256,123 "," 323,907 "," 195,471 "," 45,672 "," 201,418 "," 211,139 "," 2,902,776 "," 167,611 "," 56,454 "," 341,510 "," 85,604 "," 375,387 "," 135,322 "," 291,208 "," 160,664 "," 226,899 "," 437,142 "," 95,100 "," 158,307 "," 193,208 "," 178,360 "
     รย.13 รถแทรกเตอร์ Tractor ," 520,426 "," 94,248 "," 426,178 "," 40,066 "," 3,443 "," 1,129 "," 16,041 ", 852 ," 5,343 "," 1,700 ", 324 ," 1,114 "," 10,120 "," 24,399 ", 616 ," 2,473 "," 2,253 "," 4,836 "," 2,573 "," 3,089 ", 169 ," 8,390 "," 203,766 ",," 14,606 "," 4,398 "," 18,832 "," 12,199 "," 12,496 "," 35,753 "," 10,929 "," 3,412 "," 5,710 "," 2,120 "," 4,510 "," 8,471 "," 16,376 "," 4,084 "," 9,192 "," 12,151 "," 8,868 "," 7,762 "," 9,714 "," 2,183 "," 122,616 "," 8,265 ", 154 ," 4,575 "," 3,934 "," 3,167 "," 1,037 "," 1,221 "," 2,527 "," 5,988 "," 10,109 "," 3,450 "," 9,686 "," 13,963 "," 6,199 "," 20,896 "," 21,858 "," 5,587 "," 19,029 "," 6,646 "," 5,925 "," 1,467 "," 1,161 ", 192 , 90 ," 1,455 "," 2,093 "," 16,302 "," 1,437 ", 157 ," 4,519 ", 194 ," 3,171 ", 384 , 466 ," 1,370 ", 801 ," 2,563 ", 203 , 315 , 336 , 386 
     รย.14 รถบดถนน Road Roller ," 14,127 "," 3,836 "," 10,291 ", 808 , 42 , 50 , 149 , 65 , 147 , 88 , 52 , 160 , 55 ," 1,065 ", 49 , 171 , 91 , 313 , 135 , 147 , 27 , 132 ," 3,036 ",, 114 , 122 , 249 , 197 , 470 , 400 , 256 , 24 , 114 , 8 , 28 , 123 , 165 , 34 , 127 , 242 , 123 , 81 , 102 , 57 ," 2,529 ", 259 , 16 , 434 , 70 , 95 , 57 , 133 , 116 , 112 , 172 , 86 , 216 , 131 , 178 , 217 , 184 , 53 ," 1,210 ", 266 , 93 , 164 , 422 , 25 , 45 , 98 , 97 ," 1,643 ", 129 , 48 , 328 , 44 , 131 , 50 , 21 , 70 , 101 , 308 , 47 , 114 , 117 , 135 
     รย.15 รถใช้งานเกษตรกรรม Farm Vehicle ," 107,721 ", 7 ," 107,714 ", 993 , 80 , -   , 235 , -   , 135 , 535 , 7 , 1 , -   , 287 , 70 , 21 , 114 , 12 , 10 , 7 , 1 , 52 ," 73,418 ",," 18,391 ", 709 , 203 , 248 ," 1,773 "," 45,544 ", 424 , 20 , 284 , -   , 258 , 174 ," 1,360 ", 55 , 60 , 975 , 313 , 667 ," 1,952 ", 8 ," 32,521 ", 953 , 3 , 34 , 43 , 6 , 30 , 125 , 121 ," 13,207 "," 3,276 ", 19 ," 6,719 ", 789 ," 2,469 "," 2,225 "," 2,157 ", 345 , 449 , 38 , 27 , 5 , 8 , -   , 4 , 336 , 31 , 46 , 3 , 1 , 3 , 1 , 6 , 3 , -   , -   , 3 , 4 , -   , -   , 2 , 20 
     รย.16 รถพ่วง Automobile Trailer ," 4,585 "," 2,643 "," 1,942 ", 154 , 3 , -   , 12 , 6 , 63 , 24 , 35 , 5 , 6 , 474 , 4 , 5 , 7 , 416 , 26 , 12 , -   , 4 , 921 ,, 29 , -   , 30 , 6 , 9 , 702 , 10 , 1 , 5 , 2 , 10 , 9 , 49 , 1 , 3 , 42 , 4 , 5 , 4 , -   , 172 , 18 , 4 , 40 , 2 , 14 , 7 , 7 , -   , 6 , 16 , 3 , 22 , 10 , 8 , 3 , 11 , 1 , 113 , 6 , 32 , 10 , 27 , 2 , -   , 11 , 25 , 108 , 18 , 4 , 22 , 1 , 5 , 10 , 20 , 5 , 3 , 15 , 1 , 1 , -   , 3 
     รย.17 รถจักรยานยนต์สาธารณะ Public Motorcycle ," 193,662 "," 99,292 "," 94,370 "," 42,637 ", 129 , 152 ," 1,088 ", 510 ," 1,750 "," 4,140 "," 8,726 "," 8,078 "," 18,064 "," 17,247 ", 342 , 312 ," 1,847 "," 12,308 "," 1,421 ", 524 , 201 , 292 ," 5,256 ",, 58 , 156 , 215 , 305 , 657 ," 2,285 ", 939 , 71 , 22 , -   , 7 , 4 , 39 , 2 , 100 , 198 , 28 , 104 , 64 , 2 ," 4,769 ", 623 , 112 , 484 , 116 , 124 , 101 , 154 , 80 , 109 , 123 ," 1,284 ", 250 , 118 , 148 , 258 , 570 , 115 ," 13,947 ", 498 , 787 ," 4,401 "," 1,086 "," 4,725 ", 892 , 735 , 823 ," 10,514 ", 472 , 487 , 413 , 376 ," 1,351 ", 391 ," 1,783 ", 641 ," 1,050 "," 1,905 ", 305 , 567 , 41 , 732 
 ข. รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก ," 1,250,548 "," 184,622 "," 1,065,926 "," 165,362 "," 8,185 "," 5,292 "," 16,281 "," 5,898 "," 32,315 "," 24,261 "," 21,456 "," 18,714 "," 32,960 "," 142,418 "," 4,266 "," 11,545 "," 23,432 "," 53,922 "," 25,920 "," 8,769 "," 3,870 "," 10,694 "," 300,970 ", -   ," 20,282 "," 6,276 "," 20,222 "," 13,610 "," 20,181 "," 57,383 "," 17,800 "," 3,398 "," 8,468 "," 3,384 "," 5,927 "," 11,476 "," 22,968 "," 5,064 "," 9,343 "," 29,848 "," 13,061 "," 12,781 "," 14,682 "," 4,816 "," 188,610 "," 16,255 "," 1,157 "," 24,991 "," 7,268 "," 6,061 "," 4,629 "," 9,672 "," 6,222 "," 6,332 "," 10,810 "," 7,440 "," 14,394 "," 17,925 "," 9,490 "," 14,103 "," 25,192 "," 6,669 "," 144,570 "," 27,828 "," 18,880 "," 38,688 "," 18,593 "," 14,551 "," 3,478 "," 11,064 "," 11,488 "," 123,996 "," 7,300 "," 3,625 "," 19,774 "," 4,288 "," 15,636 "," 7,077 "," 12,176 "," 6,443 "," 7,494 "," 25,527 "," 2,662 "," 3,986 "," 4,639 "," 3,369 "
     Total Vehicle under Land Transport Act ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     รวมรถโดยสาร Bus : Total ," 159,083 "," 43,068 "," 116,015 "," 16,828 ", 371 , 441 ," 1,850 "," 1,003 "," 1,099 "," 3,340 "," 2,572 "," 2,133 "," 4,019 "," 15,041 ", 362 , 789 ," 2,372 "," 6,796 "," 2,325 "," 1,136 ", 731 , 530 ," 25,902 ", -   , 975 , 647 ," 2,030 "," 1,128 "," 1,034 "," 6,005 "," 1,331 ", 204 , 663 , 185 , 453 , 668 ," 2,418 ", 612 ," 1,255 "," 2,901 ", 776 ," 1,004 "," 1,269 ", 344 ," 18,613 "," 1,899 ", 186 ," 7,222 ", 466 , 456 , 439 ," 1,171 ", 434 , 419 , 543 , 871 , 855 , 625 , 351 , 811 ," 1,390 ", 475 ," 9,179 "," 1,778 "," 1,179 "," 1,537 ", 883 ," 1,671 ", 475 , 719 , 937 ," 30,452 ", 598 , 623 ," 3,393 "," 1,602 "," 2,834 "," 2,115 "," 8,122 "," 1,137 ", 911 ," 5,988 ", 646 , 896 ," 1,124 ", 463 
